Stock,Region,Area,BY,S,R
SEAK N Outside,Southeast Alaska,North,1971,966.12,1166.33
SEAK N Outside,Southeast Alaska,North,1972,760.05,1052.41
SEAK N Outside,Southeast Alaska,North,1973,916.01,1843.68
SEAK N Outside,Southeast Alaska,North,1974,997.92,996.48
SEAK N Outside,Southeast Alaska,North,1975,1279.89,6511.8
SEAK N Outside,Southeast Alaska,North,1976,898.33,2076.28
SEAK N Outside,Southeast Alaska,North,1977,4336.14,6181.59
SEAK N Outside,Southeast Alaska,North,1978,1941.62,897.5
SEAK N Outside,Southeast Alaska,North,1979,4464.66,6012.22
SEAK N Outside,Southeast Alaska,North,1980,826.88,2161.26
SEAK N Outside,Southeast Alaska,North,1981,3328.5,5557.96
SEAK N Outside,Southeast Alaska,North,1982,1688.52,3626.91
SEAK N Outside,Southeast Alaska,North,1983,3022.63,9968.9
SEAK N Outside,Southeast Alaska,North,1984,2394.27,1234.68
SEAK N Outside,Southeast Alaska,North,1985,4385.62,1781.45
SEAK N Outside,Southeast Alaska,North,1986,1025.13,714.17
SEAK N Outside,Southeast Alaska,North,1987,1367.69,2421.86
SEAK N Outside,Southeast Alaska,North,1988,657.85,1266.68
SEAK N Outside,Southeast Alaska,North,1989,1553,2361.85
SEAK N Outside,Southeast Alaska,North,1990,1101.88,2430.42
SEAK N Outside,Southeast Alaska,North,1991,1993.43,3168.48
